Short Country	Long Country	Holiday	Long Date	Short Date	Description
AD	Andorra	Easter Sunday	"Sunday, April 20, 2025"	20-Apr-25	"Easter Sunday commemorates Jesus Christâ€™s resurrection, according to Christian belief."
AD	Andorra	Easter Monday	"Monday, April 21, 2025"	21-Apr-25	Easter Monday is the day after Easter Sunday.
AD	Andorra	May Day	"Thursday, May 1, 2025"	1-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
AD	Andorra	Mothers' Day	"Sunday, May 4, 2025"	4-May-25	Motherâ€™s Day celebrates the achievements and efforts of mothers and mother figures.
AD	Andorra	Ascension Day	"Thursday, May 29, 2025"	29-May-25	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.
AD	Andorra	Whit Sunday	"Sunday, June 8, 2025"	8-Jun-25	"Many Christians all over the world annually observe Pentecost, also known as Whitsunday or Whit Sunday."
AD	Andorra	Whit Monday	"Monday, June 9, 2025"	9-Jun-25	"Whit Monday, or Pentecost Monday, is a Christian holiday that falls on the day after Pentecost, which is also known as Whit Sunday or Whitsunday."
AD	Andorra	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Andorra (Andorra La Vella)
AD	Andorra	Assumption of Mary	"Friday, August 15, 2025"	15-Aug-25	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.
AD	Andorra	National Day	"Monday, September 8, 2025"	8-Sep-25	National Day is a national holiday in Andorra
AD	Andorra	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in Andorra (Andorra La Vella)
AD	Andorra	Daylight Saving Time ends	"Sunday, October 26, 2025"	26-Oct-25	Daylight Saving Time ends in Andorra
AD	Andorra	All Saints' Day	"Saturday, November 1, 2025"	1-Nov-25	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."
AD	Andorra	Feast of the Immaculate Conception	"Monday, December 8, 2025"	8-Dec-25	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.
AD	Andorra	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in Andorra (Andorra La Vella)
AD	Andorra	Christmas Eve	"Wednesday, December 24, 2025"	24-Dec-25	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.
AD	Andorra	Christmas Day	"Thursday, December 25, 2025"	25-Dec-25	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.
AD	Andorra	Boxing Day	"Friday, December 26, 2025"	26-Dec-25	Boxing Day is a national holiday in Andorra
AD	Andorra	New Year's Eve (Bank holiday)	"Wednesday, December 31, 2025"	31-Dec-25	"New Yearâ€™s Eve is the last day of the year, December 31, in the Gregorian calendar."
AO	Angola	New Year	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
AO	Angola	Day off for Liberation Movement Day	"Monday, February 3, 2025"	3-Feb-25	Liberation Movement Day is a public holiday in Angola
AO	Angola	Liberation Movement Day	"Tuesday, February 4, 2025"	4-Feb-25	Liberation Movement Day is a public holiday in Angola
AO	Angola	Carnival Holiday	"Monday, March 3, 2025"	3-Mar-25	Carnival Holiday is a public holiday in Angola
AO	Angola	Carnival	"Tuesday, March 4, 2025"	4-Mar-25	Shrove Tuesday is a religious holiday before the fasting period of Lent. It is celebrated by eating pancakes and holding Carnival parades.
AO	Angola	International Woman's Day	"Saturday, March 8, 2025"	8-Mar-25	International Woman's Day is a public holiday in Angola
AO	Angola	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Angola (Luanda)
AO	Angola	Southern Africa Liberation Day	"Sunday, March 23, 2025"	23-Mar-25	Southern Africa Liberation Day is a public holiday in Angola
AO	Angola	Peace Day	"Friday, April 4, 2025"	4-Apr-25	Peace Day is a public holiday in Angola
AO	Angola	Good Friday	"Friday, April 18, 2025"	18-Apr-25	Good Friday is a global Christian observance two days before Easter Sunday.
AO	Angola	May Day	"Thursday, May 1, 2025"	1-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
AO	Angola	Day off for May Day	"Friday, May 2, 2025"	2-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
AO	Angola	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Angola (Luanda)
AO	Angola	National Hero Day	"Wednesday, September 17, 2025"	17-Sep-25	National Hero Day is a public holiday in Angola
AO	Angola	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in Angola (Luanda)
AO	Angola	All Souls' Day	"Sunday, November 2, 2025"	2-Nov-25	All Soulsâ€™ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.
AO	Angola	Day off for Independence Day	"Monday, November 10, 2025"	10-Nov-25	Independence Day is a public holiday in Angola
AO	Angola	Independence Day	"Tuesday, November 11, 2025"	11-Nov-25	Independence Day is a public holiday in Angola
AO	Angola	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in Angola (Luanda)
AO	Angola	Christmas Day	"Thursday, December 25, 2025"	25-Dec-25	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.
AO	Angola	Day off for Christmas Day	"Friday, December 26, 2025"	26-Dec-25	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.
AI	Anguilla	New Year's Day	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
AI	Anguilla	James Ronald Webster Day	"Sunday, March 2, 2025"	2-Mar-25	James Ronald Webster Day is a public holiday in Anguilla
AI	Anguilla	Day off for James Ronald Webster Day	"Monday, March 3, 2025"	3-Mar-25	James Ronald Webster Day is a public holiday in Anguilla
AI	Anguilla	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Anguilla (The Valley)
AI	Anguilla	Good Friday	"Friday, April 18, 2025"	18-Apr-25	Good Friday is a global Christian observance two days before Easter Sunday.
AI	Anguilla	Easter Monday	"Monday, April 21, 2025"	21-Apr-25	Easter Monday is the day after Easter Sunday.
AI	Anguilla	Labor Day / May Day	"Thursday, May 1, 2025"	1-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
AI	Anguilla	Anguilla Day	"Friday, May 30, 2025"	30-May-25	Anguilla Day is a public holiday in Anguilla
AI	Anguilla	Whit Monday	"Monday, June 9, 2025"	9-Jun-25	"Whit Monday, or Pentecost Monday, is a Christian holiday that falls on the day after Pentecost, which is also known as Whit Sunday or Whitsunday."
AI	Anguilla	Sovereign's Birthday	"Monday, June 16, 2025"	16-Jun-25	Sovereign's Birthday is a public holiday in Anguilla
AI	Anguilla	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Anguilla (The Valley)
AI	Anguilla	August Monday	"Monday, August 4, 2025"	4-Aug-25	August Monday is a public holiday in Anguilla
AI	Anguilla	August Thursday	"Thursday, August 7, 2025"	7-Aug-25	August Thursday is a public holiday in Anguilla
AI	Anguilla	Constitution Day	"Friday, August 8, 2025"	8-Aug-25	Constitution Day is a public holiday in Anguilla
AI	Anguilla	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in Anguilla (The Valley)
AI	Anguilla	National Heroes and Heroines Day	"Friday, December 19, 2025"	19-Dec-25	National Heroes and Heroines Day is a public holiday in Anguilla
AI	Anguilla	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in Anguilla (The Valley)
AI	Anguilla	Christmas Day	"Thursday, December 25, 2025"	25-Dec-25	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.
AI	Anguilla	Boxing Day	"Friday, December 26, 2025"	26-Dec-25	Boxing Day is a public holiday in Anguilla
AG	Antigua and Barbuda	New Year's Day	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
AG	Antigua and Barbuda	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Antigua and Barbuda (Saint John's)
AG	Antigua and Barbuda	Good Friday	"Friday, April 18, 2025"	18-Apr-25	Good Friday is a global Christian observance two days before Easter Sunday.
AG	Antigua and Barbuda	Easter Monday	"Monday, April 21, 2025"	21-Apr-25	Easter Monday is the day after Easter Sunday.
AG	Antigua and Barbuda	Labour Day	"Monday, May 5, 2025"	5-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
AG	Antigua and Barbuda	Whit Monday	"Monday, June 9, 2025"	9-Jun-25	"Whit Monday, or Pentecost Monday, is a Christian holiday that falls on the day after Pentecost, which is also known as Whit Sunday or Whitsunday."
AG	Antigua and Barbuda	June Solstice	"Saturday, June 21, 2025"	21-Jun-25	June Solstice in Antigua and Barbuda (Saint John's)
AG	Antigua and Barbuda	Carnival Holiday	"Monday, August 4, 2025"	4-Aug-25	Carnival Holiday is a public holiday in Antigua and Barbuda
AG	Antigua and Barbuda	September Equinox	"Monday, September 22, 2025"	22-Sep-25	September Equinox in Antigua and Barbuda (Saint John's)
AG	Antigua and Barbuda	National Heroes Day	"Sunday, October 26, 2025"	26-Oct-25	National Heroes Day is a observance in Antigua and Barbuda
AG	Antigua and Barbuda	Independence Day	"Saturday, November 1, 2025"	1-Nov-25	Independence Day is a public holiday in Antigua and Barbuda
AG	Antigua and Barbuda	Independence Day observed	"Monday, November 3, 2025"	3-Nov-25	Independence Day is a public holiday in Antigua and Barbuda
AG	Antigua and Barbuda	V.C. Bird Day	"Tuesday, December 9, 2025"	9-Dec-25	V.C. Bird Day is a public holiday in Antigua and Barbuda
AG	Antigua and Barbuda	December Solstice	"Sunday, December 21, 2025"	21-Dec-25	December Solstice in Antigua and Barbuda (Saint John's)
AG	Antigua and Barbuda	Christmas Day	"Thursday, December 25, 2025"	25-Dec-25	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.
AG	Antigua and Barbuda	Boxing Day	"Friday, December 26, 2025"	26-Dec-25	Boxing Day is a public holiday in Antigua and Barbuda
AR	Argentina	New Year's Day	"Wednesday, January 1, 2025"	1-Jan-25	"New Yearâ€™s Day is the first day of the year, or January 1, in the Gregorian calendar."
AR	Argentina	Ramadan Start	"Saturday, March 1, 2025"	1-Mar-25	"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar."
AR	Argentina	Carnival / Shrove Monday	"Monday, March 3, 2025"	3-Mar-25	Carnival / Shrove Monday is a national holiday in Argentina
AR	Argentina	Carnival / Shrove Tuesday / Pancake Day	"Tuesday, March 4, 2025"	4-Mar-25	Shrove Tuesday is a religious holiday before the fasting period of Lent. It is celebrated by eating pancakes and holding Carnival parades.
AR	Argentina	March Equinox	"Thursday, March 20, 2025"	20-Mar-25	March Equinox in Argentina (Buenos Aires)
AR	Argentina	Memorial Day	"Monday, March 24, 2025"	24-Mar-25	Memorial Day is a national holiday in Argentina
AR	Argentina	End of Ramadan	"Sunday, March 30, 2025"	30-Mar-25	"Eid al-Fitr is a holiday to mark the end of the Islamic month of Ramadan, during which Muslims fast during the hours of daylight."
AR	Argentina	Day of the Veterans	"Wednesday, April 2, 2025"	2-Apr-25	Day of the Veterans is a national holiday in Argentina
AR	Argentina	Passover Eve	"Saturday, April 12, 2025"	12-Apr-25	Passover Eve is a observance in Argentina
AR	Argentina	First day of Passover	"Sunday, April 13, 2025"	13-Apr-25	"During Passover, the Jewish people remember the liberation of the Israelites from slavery, their exodus from Egypt, and that their first-born children were spared during the 10th plague, as told in the Haggadah."
AR	Argentina	Second Day of Passover	"Monday, April 14, 2025"	14-Apr-25	Second Day of Passover is a optional holiday in Argentina
AR	Argentina	Maundy Thursday	"Thursday, April 17, 2025"	17-Apr-25	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.
AR	Argentina	Good Friday	"Friday, April 18, 2025"	18-Apr-25	Good Friday is a global Christian observance two days before Easter Sunday.
AR	Argentina	Sixth Day of Passover	"Friday, April 18, 2025"	18-Apr-25	Sixth Day of Passover is a observance in Argentina
AR	Argentina	Seventh Day of Passover	"Saturday, April 19, 2025"	19-Apr-25	Seventh Day of Passover is a optional holiday in Argentina
AR	Argentina	Easter Sunday	"Sunday, April 20, 2025"	20-Apr-25	"Easter Sunday commemorates Jesus Christâ€™s resurrection, according to Christian belief."
AR	Argentina	Last day of Passover	"Sunday, April 20, 2025"	20-Apr-25	"The last day of Passover marks the end of the Passover period, which lasts for seven or eight days."
AR	Argentina	Action Day for Tolerance and Respect between People	"Thursday, April 24, 2025"	24-Apr-25	Action Day for Tolerance and Respect between People is a observance in Argentina
AR	Argentina	Labor Day / May Day	"Thursday, May 1, 2025"	1-May-25	"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world."
AR	Argentina	Tourist Bridge Holiday	"Friday, May 2, 2025"	2-May-25	Tourist Bridge Holiday is a national holiday in Argentina
AR	Argentina	National Day/May 1810 Revolution	"Sunday, May 25, 2025"	25-May-25	National Day/May 1810 Revolution is a national holiday in Argentina
AR	Argentina	Eid al-Adha	"Saturday, June 7, 2025"	7-Jun-25	Eid al-Adha (Id ul-Adha) is an Islamic festival falling on the 10th day of the month of Dhul Hijja (Thou al-Hijja) to commemorate the willingness of Ibrahim (Abraham) to sacrifice his son.
AR	Argentina	Day off for the Commemoration of General Don MartÃ­n Miguel de GÃ¼emes	"Monday, June 16, 2025"	16-Jun-25	Day off for the Commemoration of General Don MartÃ­n Miguel de GÃ¼emes is a national holiday in Argentina
